Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Open heart.,Open Heart,,2053-3624,England,Cardiology,2013,101631219
Anatolian journal of cardiology.,Anatol J Cardiol,2149-2263,2149-2271,Turkey,Cardiology,2014,101652981
JACC. Clinical electrophysiology.,JACC Clin Electrophysiol,2405-500X,2405-5018,United States,Cardiology,2015,101656995
ESC heart failure.,ESC Heart Fail,,2055-5822,England,Cardiology,2014,101669191
JAMA cardiology.,JAMA Cardiol,2380-6583,2380-6591,United States,Cardiology,2016,101676033
European heart journal. Acute cardiovascular care.,Eur Heart J Acute Cardiovasc Care,2048-8726,2048-8734,England,Cardiology,2012,101591369
JACC. Heart failure.,JACC Heart Fail,2213-1779,2213-1787,United States,Cardiology,2013,101598241
Interventional cardiology clinics.,Interv Cardiol Clin,2211-7458,2211-7466,Netherlands,Cardiology,2012,101615153
Cardiology journal.,Cardiol J,1897-5593,1898-018X,Poland,Cardiology,2007,101392712
Nature reviews. Cardiology.,Nat Rev Cardiol,1759-5002,1759-5010,England,Cardiology,2009,101500075
Current cardiology reviews.,Curr Cardiol Rev,1573-403X,1875-6557,United Arab Emirates,Cardiology,2005,101261935
Giornale italiano di cardiologia : organo ufficiale della Federazione italiana di cardiologia : organo ufficiale della Società italiana di chirurgia cardiaca.,G Ital Cardiol (Rome),1827-6806,1972-6481,Italy,Cardiology,2006,101263411
Clinical research in cardiology : official journal of the German Cardiac Society.,Clin Res Cardiol,1861-0684,1861-0692,Germany,Cardiology,2006,101264123
Current heart failure reports.,Curr Heart Fail Rep,1546-9530,1546-9549,United States,Cardiology,2004,101196487
Heart rhythm.,Heart Rhythm,1547-5271,1556-3871,United States,Cardiology,2004,101200317
Heart failure clinics.,Heart Fail Clin,1551-7136,,United States,Cardiology,2005,101231934
Future cardiology.,Future Cardiol,1479-6678,1744-8298,England,Cardiology,2005,101239345
International heart journal.,Int Heart J,1349-2365,1349-3299,Japan,Cardiology,2005,101244240
Critical pathways in cardiology.,Crit Pathw Cardiol,1535-282X,1535-2811,United States,Cardiology,2002,101165286
Hellenic journal of cardiology : HJC = Hellēnikē kardiologikē epitheōrēsē.,Hellenic J Cardiol,1109-9666,2241-5955,Netherlands,Cardiology,2002,101257381
Archivos de cardiología de México.,Arch Cardiol Mex,1405-9940,1665-1731,Mexico,Cardiology,2001,101126728
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions.,Catheter Cardiovasc Interv,1522-1946,1522-726X,United States,Cardiology,1999,100884139
European journal of heart failure.,Eur J Heart Fail,1388-9842,1879-0844,England,Cardiology,1999,100887595
Current cardiology reports.,Curr Cardiol Rep,1523-3782,1534-3170,United States,Cardiology,1999,100888969
Journal of interventional cardiac electrophysiology : an international journal of arrhythmias and pacing.,J Interv Card Electrophysiol,1383-875X,1572-8595,Netherlands,Cardiology,1997,9708966
