Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Acta haematologica.,Acta Haematol,0001-5792,1421-9662,Switzerland,Hematology,1948,0141053
"American journal of cardiovascular drugs : drugs, devices, and other interventions.",Am J Cardiovasc Drugs,1175-3277,1179-187X,New Zealand,Cardiology; Drug Therapy; Vascular Diseases,2001,100967755
American journal of hematology.,Am J Hematol,0361-8609,1096-8652,United States,Hematology,1976,7610369
American journal of hypertension.,Am J Hypertens,0895-7061,1941-7225,United States,Vascular Diseases,1988,8803676
Angiogenesis.,Angiogenesis,0969-6970,1573-7209,Germany,Hematology,1997,9814575
Angiology.,Angiology,0003-3197,1940-1574,United States,Vascular Diseases,1950,0203706
Annales de cardiologie et d'angéiologie.,Ann Cardiol Angeiol (Paris),0003-3928,1768-3181,France,Cardiology; Vascular Diseases,1968,0142167
Annals of hematology.,Ann Hematol,0939-5555,1432-0584,Germany,Hematology,1991,9107334
Annals of thoracic and cardiovascular surgery : official journal of the Association of Thoracic and Cardiovascular Surgeons of Asia.,Ann Thorac Cardiovasc Surg,1341-1098,2186-1005,Japan,Cardiology; General Surgery; Pulmonary Medicine; Vascular Diseases,1995,9703158
Annals of vascular surgery.,Ann Vasc Surg,0890-5096,1615-5947,Netherlands,General Surgery; Vascular Diseases,1986,8703941
Archives of cardiovascular diseases.,Arch Cardiovasc Dis,1875-2136,1875-2128,Netherlands,Cardiology; Vascular Diseases,2008,101465655
"Arteriosclerosis, thrombosis, and vascular biology.",Arterioscler Thromb Vasc Biol,1079-5642,1524-4636,United States,Vascular Diseases,1995,9505803
Asian cardiovascular & thoracic annals.,Asian Cardiovasc Thorac Ann,0218-4923,1816-5370,England,Cardiology; Pulmonary Medicine; Vascular Diseases,1993,9503417
Atherosclerosis.,Atherosclerosis,0021-9150,1879-1484,Ireland,Vascular Diseases,1970,0242543
BMC cardiovascular disorders.,BMC Cardiovasc Disord,,1471-2261,England,Cardiology; Vascular Diseases,2001,100968539
Best practice & research. Clinical haematology.,Best Pract Res Clin Haematol,1521-6926,1532-1924,Netherlands,Hematology,2001,101120659
Blood advances.,Blood Adv,2473-9529,2473-9537,United States,Hematology,2016,101698425
Blood cancer discovery.,Blood Cancer Discov,2643-3230,2643-3249,United States,Hematology; Neoplasms,2020,101764786
Blood cancer journal.,Blood Cancer J,,2044-5385,United States,Allergy and Immunology; Hematology; Neoplasms,2011,101568469
"Blood cells, molecules & diseases.",Blood Cells Mol Dis,1079-9796,1096-0961,United States,Hematology,1995,9509932
Blood coagulation & fibrinolysis : an international journal in haemostasis and thrombosis.,Blood Coagul Fibrinolysis,0957-5235,1473-5733,England,Hematology; Vascular Diseases,1990,9102551
Blood pressure monitoring.,Blood Press Monit,1359-5237,1473-5725,England,Vascular Diseases,1996,9606438
Blood pressure.,Blood Press,0803-7051,1651-1999,England,Vascular Diseases,1992,9301454
Blood purification.,Blood Purif,0253-5068,1421-9735,Switzerland,Hematology,1983,8402040
Blood reviews.,Blood Rev,0268-960X,1532-1681,England,Hematology,1987,8708558
Blood transfusion = Trasfusione del sangue.,Blood Transfus,1723-2007,2385-2070,Italy,Hematology,2003,101237479
Blood.,Blood,0006-4971,1528-0020,United States,Hematology,1946,7603509
Brazilian journal of cardiovascular surgery.,Braz J Cardiovasc Surg,0102-7638,1678-9741,Brazil,Cardiology; General Surgery; Vascular Diseases,2015,101677045
British journal of haematology.,Br J Haematol,0007-1048,1365-2141,England,Hematology,1955,0372544
Cardiology in review.,Cardiol Rev,1061-5377,1538-4683,United States,Cardiology; Vascular Diseases,1993,9304686
Cardiology in the young.,Cardiol Young,1047-9511,1467-1107,England,Cardiology; Pediatrics; Vascular Diseases,1991,9200019
Cardiovascular & hematological agents in medicinal chemistry.,Cardiovasc Hematol Agents Med Chem,1871-5257,1875-6182,Netherlands,Cardiology; Chemistry; Hematology; Pharmacology; Vascular Diseases,2006,101266881
Cardiovascular & hematological disorders drug targets.,Cardiovasc Hematol Disord Drug Targets,1871-529X,2212-4063,United Arab Emirates,Cardiology; Drug Therapy; Hematology; Vascular Diseases,2006,101269160
Cardiovascular and interventional radiology.,Cardiovasc Intervent Radiol,0174-1551,1432-086X,United States,Cardiology; Radiology; Vascular Diseases,1980,8003538
Cardiovascular diabetology.,Cardiovasc Diabetol,,1475-2840,England,Cardiology; Endocrinology; Vascular Diseases,2002,101147637
Cardiovascular drugs and therapy,Cardiovasc Drugs Ther,0920-3206,1573-7241,United States,Cardiology; Drug Therapy; Vascular Diseases,1987,8712220
Cardiovascular engineering and technology.,Cardiovasc Eng Technol,1869-408X,1869-4098,United States,Biomedical Engineering; Cardiology; Vascular Diseases,2010,101531846
Cardiovascular intervention and therapeutics.,Cardiovasc Interv Ther,1868-4300,1868-4297,Japan,Cardiology; Therapeutics; Vascular Diseases,2010,101522043
Cardiovascular journal of Africa.,Cardiovasc J Afr,1995-1892,1680-0745,South Africa,Cardiology; Vascular Diseases,2007,101313864
Cardiovascular pathology : the official journal of the Society for Cardiovascular Pathology.,Cardiovasc Pathol,1054-8807,1879-1336,United States,Cardiology; Pathology; Vascular Diseases,1992,9212060
Cardiovascular research.,Cardiovasc Res,0008-6363,1755-3245,England,Cardiology; Vascular Diseases,1967,0077427
Cardiovascular revascularization medicine : including molecular interventions.,Cardiovasc Revasc Med,1553-8389,1878-0938,United States,Cardiology; Vascular Diseases,2005,101238551
Cardiovascular therapeutics.,Cardiovasc Ther,1755-5914,1755-5922,England,Cardiology; Therapeutics; Vascular Diseases,2008,101319630
Cardiovascular toxicology.,Cardiovasc Toxicol,1530-7905,1559-0259,United States,Cardiology; Toxicology; Vascular Diseases,2001,101135818
Cardiovascular ultrasound.,Cardiovasc Ultrasound,,1476-7120,England,Cardiology; Diagnostic Imaging; Vascular Diseases,2003,101159952
Cerebrovascular diseases extra.,Cerebrovasc Dis Extra,,1664-5456,Switzerland,Vascular Diseases,2011,101577885
Cerebrovascular diseases.,Cerebrovasc Dis,1015-9770,1421-9786,Switzerland,Brain; Vascular Diseases,1991,9100851
Circulation journal : official journal of the Japanese Circulation Society,Circ J,1346-9843,1347-4820,Japan,Cardiology; Vascular Diseases,2002,101137683
Circulation research.,Circ Res,0009-7330,1524-4571,United States,Cardiology; Vascular Diseases,1953,0047103
Circulation.,Circulation,0009-7322,1524-4539,United States,Cardiology; Vascular Diseases,1950,0147763
Circulation. Arrhythmia and electrophysiology.,Circ Arrhythm Electrophysiol,1941-3149,1941-3084,United States,Cardiology; Vascular Diseases,2008,101474365
