Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Pulmonology.,Pulmonology,2531-0429,2531-0437,United States,Pulmonary Medicine,2018,101723786
Respiratory medicine and research.,Respir Med Res,,2590-0412,France,Pulmonary Medicine,2019,101746324
ATS scholar.,ATS Sch,,2690-7097,England,Pulmonary Medicine,2020,101774447
Respiratory investigation.,Respir Investig,2212-5345,2212-5353,Netherlands,Pulmonary Medicine,2012,101581124
Annals of the American Thoracic Society.,Ann Am Thorac Soc,2329-6933,2325-6621,England,Pulmonary Medicine,2013,101600811
The Lancet. Respiratory medicine.,Lancet Respir Med,2213-2600,2213-2619,England,Pulmonary Medicine,2013,101605555
Pulmonary medicine.,Pulm Med,2090-1836,2090-1844,United States,Pulmonary Medicine,2010,101558762
The clinical respiratory journal.,Clin Respir J,1752-6981,1752-699X,England,Pulmonary Medicine,2007,101315570
Journal of breath research.,J Breath Res,1752-7155,1752-7163,England,Pulmonary Medicine,2007,101463871
Journal of bronchology & interventional pulmonology.,J Bronchology Interv Pulmonol,1944-6586,1948-8270,United States,Pulmonary Medicine,2009,101496866
International journal of chronic obstructive pulmonary disease.,Int J Chron Obstruct Pulmon Dis,1176-9106,1178-2005,New Zealand,Pulmonary Medicine,2006,101273481
Expert review of respiratory medicine.,Expert Rev Respir Med,1747-6348,1747-6356,England,Pulmonary Medicine,2007,101278196
Chronic respiratory disease.,Chron Respir Dis,1479-9723,1479-9731,England,Pulmonary Medicine,2004,101197408
COPD.,COPD,1541-2555,1541-2563,England,Pulmonary Medicine,2004,101211769
Jornal brasileiro de pneumologia : publicaça̋o oficial da Sociedade Brasileira de Pneumologia e Tisilogia.,J Bras Pneumol,1806-3713,1806-3756,Brazil,Pulmonary Medicine,2004,101222274
Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society.,J Cyst Fibros,1569-1993,1873-5010,Netherlands,Pulmonary Medicine,2002,101128966
Respiratory physiology & neurobiology.,Respir Physiol Neurobiol,1569-9048,1878-1519,Netherlands,Pulmonary Medicine,2002,101140022
BMC pulmonary medicine.,BMC Pulm Med,,1471-2466,England,Pulmonary Medicine,2001,100968563
Tuberculosis.,Tuberculosis (Edinb),1472-9792,1873-281X,Scotland,Pulmonary Medicine,2001,100971555
Respiratory research.,Respir Res,1465-9921,1465-993X,England,Pulmonary Medicine,2000,101090633
The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease.,Int J Tuberc Lung Dis,1027-3719,1815-7920,France,Pulmonary Medicine,1997,9706389
Respirology : official journal of the Asian Pacific Society of Respirology.,Respirology,1323-7799,1440-1843,Australia,Pulmonary Medicine,1996,9616368
Canadian respiratory journal.,Can Respir J,1198-2241,1916-7245,United States,Pulmonary Medicine,1994,9433332
Current opinion in pulmonary medicine.,Curr Opin Pulm Med,1070-5287,1531-6971,United States,Pulmonary Medicine,1995,9503765
Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,Monaldi Arch Chest Dis,1122-0643,2532-5264,Italy,Pulmonary Medicine,1993,9307314
European respiratory review : an official journal of the European Respiratory Society.,Eur Respir Rev,0905-9180,1600-0617,England,Pulmonary Medicine,1991,9111391
Pneumologie.,Pneumologie,0934-8387,1438-8790,Germany,Pulmonary Medicine,1989,8906641
Respiratory medicine.,Respir Med,0954-6111,1532-3064,England,Pulmonary Medicine,1989,8908438
Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases.,Zhonghua Jie He He Hu Xi Za Zhi,1001-0939,,China,Pulmonary Medicine,1987,8712226
The European respiratory journal.,Eur Respir J,0903-1936,1399-3003,England,Pulmonary Medicine,1988,8803460
Revue des maladies respiratoires.,Rev Mal Respir,0761-8425,1776-2588,France,Pulmonary Medicine,1984,8408032
Clinics in chest medicine.,Clin Chest Med,0272-5231,1557-8216,United States,Pulmonary Medicine,1980,7907612
Experimental lung research.,Exp Lung Res,0190-2148,1521-0499,England,Pulmonary Medicine,1980,8004944
Lung.,Lung,0341-2040,1432-1750,United States,Pulmonary Medicine,1976,7701875
Respiratory care.,Respir Care,0020-1324,1943-3654,United States,Pulmonary Medicine,1971,7510357
Respiration; international review of thoracic diseases.,Respiration,0025-7931,1423-0356,Switzerland,Pulmonary Medicine,1968,0137356
Chest.,Chest,0012-3692,1931-3543,United States,Pulmonary Medicine,1970,0231335
Thorax.,Thorax,0040-6376,1468-3296,England,Pulmonary Medicine,1946,0417353
Tüberküloz ve toraks.,Tuberk Toraks,0494-1373,2980-3187,Turkey,Pulmonary Medicine,1953,0417364
Therapeutic advances in respiratory disease.,Ther Adv Respir Dis,1753-4658,1753-4666,England,Pulmonary Medicine; Therapeutics,2007,101316317
